size: 29696 cycles: 40899815 cycles_per_loc:   6.88642 L1miss: 742755 L1miss_frac:   0.12506 L2miss: 449422 L2miss_frac:   0.07567
size: 30720 cycles: 42326764 cycles_per_loc:   6.88912 L1miss: 768269 L1miss_frac:   0.12504 L2miss: 454270 L2miss_frac:   0.07394
size: 31744 cycles: 43711454 cycles_per_loc:   6.88499 L1miss: 793949 L1miss_frac:   0.12505 L2miss: 512072 L2miss_frac:   0.08066
size: 32768 cycles: 45152313 cycles_per_loc:   6.88970 L1miss: 819520 L1miss_frac:   0.12505 L2miss: 639115 L2miss_frac:   0.09752
size: 33792 cycles: 46559342 cycles_per_loc:   6.88911 L1miss: 845085 L1miss_frac:   0.12504 L2miss: 821720 L2miss_frac:   0.12158
size: 34816 cycles: 48031668 cycles_per_loc:   6.89793 L1miss: 870722 L1miss_frac:   0.12505 L2miss: 831101 L2miss_frac:   0.11936
size: 35840 cycles: 49405410 cycles_per_loc:   6.89250 L1miss: 896315 L1miss_frac:   0.12504 L2miss: 891050 L2miss_frac:   0.12431
size: 36864 cycles: 50772347 cycles_per_loc:   6.88644 L1miss: 921947 L1miss_frac:   0.12505 L2miss: 902757 L2miss_frac:   0.12244
size: 37888 cycles: 52491023 cycles_per_loc:   6.92713 L1miss: 947495 L1miss_frac:   0.12504 L2miss: 955925 L2miss_frac:   0.12615
size: 38912 cycles: 53723433 cycles_per_loc:   6.90320 L1miss: 973142 L1miss_frac:   0.12504 L2miss: 1033786 L2miss_frac:   0.13284
size: 39936 cycles: 55115176 cycles_per_loc:   6.90044 L1miss: 998733 L1miss_frac:   0.12504 L2miss: 1113753 L2miss_frac:   0.13944
size: 40960 cycles: 56533415 cycles_per_loc:   6.90105 L1miss: 1024318 L1miss_frac:   0.12504 L2miss: 1228383 L2miss_frac:   0.14995
size: 41984 cycles: 58282748 cycles_per_loc:   6.94107 L1miss: 1049766 L1miss_frac:   0.12502 L2miss: 1362647 L2miss_frac:   0.16228
size: 43008 cycles: 59368296 cycles_per_loc:   6.90201 L1miss: 1075479 L1miss_frac:   0.12503 L2miss: 1386625 L2miss_frac:   0.16121
size: 44032 cycles: 61090402 cycles_per_loc:   6.93705 L1miss: 1101078 L1miss_frac:   0.12503 L2miss: 1525709 L2miss_frac:   0.17325
